english_name,ID,sire,dame,date,race_number,track,distance,cl,rank,trainer,weight,jockey,dr,gr,win_time,last_qtr,section_time,ln_running,w_m,horse_wt,rt,odds_on,odds_last
JUMBO HAPPINESS,V315, Fastnet Rock, Tashzara,2016-10-26,134,HV tf g/f C+3,1000,4,DNF,C. Fownes,129,C. Y. Ho,2, ,,, ,12-11-5,2,1086.0,57.0,10.0,
KHAKI,A294, Commands, Chameleon,2018-07-08,782,ST tf g/f C,1200,4,UR,A. T. Millard,126,C. Schofield,4, ,1:09:67,21.76, ,8-12-8,5.25,1181.0,56.0,8.5,11.0
KING GENKI,V181, Arcano, Celestina Agostino,2018-03-11,486,ST aw g -,1650,2,WD,A. S. Cruz,123,D. Whyte,5,TT,1:38:09,22.57, ,4-4-7-10,8,1285.0,88.0,,
KIRAM,T093, Elusive City, King Luna,2016-04-10,553,ST tf g/y C,1600,3,WD,D. Ferraris,112,K. K. Chiong,13, ,1:35.3,23.6, ,9-11-10-5,3,,67.0,,
LET US WIN,V381, Sebring, Steal My Love,2018-12-02,224,ST aw g -,1650,3,WD,L. Ho,117,S. De Sousa,5,PC,1:38:01,23.73, ,8-9-8-1,SH,1140.0,61.0,,
LIMITLESS,A115, Lope De Vega, Portelet,2017-04-09,560,ST tf g/f C,1600,G2,WD,L. Ho,123,C. Schofield,5,H/XB ,1:33.7,22.1, ,10-11-11-13,11.25,1079.0,95.0,26.0,
LITTLE GIANT,V342, Swiss Ace, Princess Carolina,2017-11-26,224,ST tf g C,1400,2,WD,D. Hall,130,Z. Purton,2, ,1:21:89,21.87, ,5-4-1,0.75,1089.0,93.0,,
LONE EAGLE,B309, Zoffany, Green Mirage,2019-03-24,527,ST tf g C+3,1200,3,WD,A. T. Millard,132,G. van Niekerk,12,BO/XB/TT,1:09:68,23.36, ,12-12-3,1.25,1223.0,79.0,,
LOTUS BREEZE,T112, Oasis Dream, Ebadiyla,2015-02-07,382,ST tf g/f C+3,1400,2,WD,W. Y. So,119,O. Doleuze,10,TT   ,1:21.0,23.1, ,11-11-10,7,1064.0,86.0,29.0,
LUCKY SHINY DAY,A273, Per Incanto, Zalass,2018-03-18,503,ST tf g A,1400,4,WD,L. Ho,122,K. C. Ng,3, ,1:22:70,23.8, ,12-13-13-12,7.75,1065.0,52.0,99.0,
LUCKY TIME,A045, Castledale, Gulfstream,2018-07-04,776,HV tf g C+3,1650,3,WD,D. Hall,118,M. F. Poon,2,B,1:39:98,23.13, ,2-4-4-4,0.5,1051.0,70.0,8.9,
