english_name,ID,sire,dame,date,race_number,track,distance,cl,rank,trainer,weight,jockey,dr,gr,win_time,last_qtr,section_time,ln_running,w_m,horse_wt,rt,odds_on,odds_last
CHATER THUNDER,A325, Oasis Dream, Sanjida,2018-10-07,74,ST aw g -,1650,4,UR,D. Ferraris,131,N. Callan,3,B/TT,1:39:41,23.34, ,6-5-5-2,0.75,1035.0,58.0,9.7,15.0
CHEERFUL STAR,B326, Excelebration, Lausanne,2018-12-29,298,ST tf g B+2,2000,3,WD,F. C. Lor,124,K. Teetan,7, ,2:01:11,24.4, ,10-8-8-9-9,5.5,1011.0,71.0,,
CHEERFULJET,A188, Darci Brahma, Bright Abyss,2019-04-10,569,HV tf g A,1000,3,WD,C. Fownes,129,C. Y. Ho,8, ,0:56:94,23.02, ,2-2-4,2.75,1099.0,78.0,,
CITRON SPIRIT,T286, Invincible Spirit, Citron Presse,2018-06-16,739,ST tf g/f C+3,1600,2,WD,P. F. Yiu,123,C. Wong,10,H/XB,1:33:12,23.15, ,6-7-8-3,0.5,1033.0,96.0,,
CIRRUS DES AIGLES,L623, Even Top, Taille De Guepe,2012-12-09,229,ST tf g A,2000,G1,WD,C Barande-Barbe,126,O. Peslier,2, ,2:03.0,22.8, ,6-7-7-5,2,,130.0,,
CLEMENT LEGEND,B137, Ocean Park, Spiriting,2018-09-05,11,HV tf g/f B,1650,5,WD,C. S. Shum,123,A. Sanna,6,B/TT,1:42:25,24.81, ,8-7-6-8-5,2,1105.0,26.0,9.2,
COMPLACENCY,B116, Charge Forward, Jemison,2019-04-03,550,ST aw g -,1200,3,WD,A. S. Cruz,114,H. T. Mo,11,B/TT,1:09:35,23.91, ,10-10-12,7,1058.0,64.0,,
COOL TEAM,B264, Tamayuz, Coolminx,2019-03-02,469,ST tf g C,1400,3,WD,P. O'Sullivan,127,K. Teetan,9, ,1:22:14,23.34, ,10-7-5,1.5,1029.0,70.0,11.0,
CRAIG'S STAR,C041, Your Song, Little Less Lip,2019-02-10,406,ST tf g A,1200,4,WD,C. S. Shum,125,S. De Sousa,2, ,1:09:76,22.7, ,3-4-2,1.5,1226.0,54.0,3.3,
D B PIN,V344, Darci Brahma, Pins 'n' Needles,2016-10-26,134,HV tf g/f C+3,1000,4,DNF,John Size,130,Z. Purton,4, ,,, ,2-2-2,SH,1142.0,56.0,2.5,
CURLING LUXURY,A083, O'reilly, Former Glory,2019-02-10,409,ST tf g A,1600,4,WD,Y. S. Tsui,119,S. De Sousa,9, ,1:35:89,23.44, ,2-2-1-8,2.75,1045.0,46.0,,
DANDINO,P621, Dansili, Generous Diana,2013-12-08,224,ST tf g/f A,2400,G1,WD,M Botti,126,D. Oliver,8, ,2:27.2,23.1, ,6-8-9-7,3,1067.0,114.0,,
DANCES WITH DRAGON,B129, Savabeel, Around The Clock,2018-02-21,446,HV tf g C,1650,3,UR,W. Y. So,132,J. Moreira,8,CP/TT,1:40:55,24.56, ,7-7-8-6,3.25,1143.0,84.0,7.6,10.0
DANEWIN EXPRESS,S234, Danewin, Zink,2014-10-19,100,HV tf g/f A,1650,3,WD,A. S. Cruz,116,M. Chadwick,4,H/XB/,1:40.7,24.0, ,6-6-4-2,1.75,,62.0,,
DASHING GAINER,A412, Exceed And Excel, Lune Rouge,2018-05-23,670,HV tf g/f C,1000,4,WD,Y. S. Tsui,133,Z. Purton,5,H2,0:57:18,23.01, ,1-1-2,1,1130.0,60.0,9.2,
DELIGHT EXPRESS,A099, Tavistock, Wahaha,2019-03-17,500,ST tf g A,1600,4,UR,A. T. Millard,119,C. Wong,5,B/XB/TT1,1:34:82,24.09, ,9-7-10-12,18.5,1064.0,53.0,64.0,99.0
DOLLAR REWARD,A305, Shamardal, Cape Dollar,2018-09-09,24,ST aw g -,1200,4,WD,C. S. Shum,127,Z. Purton,11,P2/TT,1:10:06,23.82, ,1-2-12,10.25,1076.0,55.0,,
DRAGON GENERAL,T400, Reaan, Grey Deceiver,2018-11-25,208,ST tf y C,1400,2,WD,Y. S. Tsui,133,C. Schofield,8,TT,1:23:24,24.84, ,12-12-10-1,N,1123.0,93.0,13.0,
DRAGON GENERAL,T400, Reaan, Grey Deceiver,2018-04-25,600,HV tf g C,1000,3,WD,Y. S. Tsui,133,U. Rispoli,12,B-/TT,0:57:28,23.07, ,12-12-3,0.75,1107.0,85.0,8.0,
E MASTER,A254, Dreamscape, Ditas,2018-06-10,717,ST tf g/f C,1200,4,WD,K. L. Man,123,H. N. Wong,6,B/TT,1:08:86,23.6, ,5-6-5-5,2.75,1133.0,50.0,,
ENCHANTING DIAMOND,S136, Pentire, Nikki's Bride,2016-07-10,775,ST tf g/f B+2,1800,5,WD,C. W. Chang,122,Z. Purton,4,B    ,1:48.6,23.7, ,8-8-7-4,3,1027.0,29.0,4.4,
ENCHANTING DIAMOND,S136, Pentire, Nikki's Bride,2015-11-08,150,ST tf g C+3,1400,5,WD,C. W. Chang,128,N. Rawiller,4,B/TT1,1:21.9,23.7, ,9-9-9-8,7,1048.0,35.0,13.0,
EXPONENTS,A031, Foxwedge, Sunday Service,2018-11-21,192,HV tf g C+3,1000,5,WD,Y. S. Tsui,118,H. N. Wong,2,V,0:57:36,22.94, ,7-5-3,5.25,1141.0,28.0,6.4,
FAIRY TWINS,V222, Oamaru Force, Desert Gardens,2017-11-08,177,HV tf g B,1200,3,WD,W. Y. So,129,N. Rawiller,12,TT,1:09:56,22.96, ,12-12-5,1.25,1192.0,72.0,12.0,
FAITHFUL TRINITY,A247, Wiener Walzer, Saaleland,2018-02-28,463,ST aw g -,1650,3,WD,R. Gibson,122,M. L. Yeung,7,CP-/H,1:38:29,23.63, ,1-1-1-3-14,14.5,1063.0,70.0,40.0,
FANTASTIC FABIO,V364, Hidden Dragon, Fantastic Flo Jo,2019-01-06,320,ST tf g C+3,1400,3,WD,C. H. Yip,121,W. M. Lai,12, ,1:21:67,23.46, ,2-2-8,4.5,1184.0,68.0,89.0,
FIGHT HERO,T186, Footstepsinthesand, Jarhes,2015-11-18,184,ST aw g -,1200,3,WD,Y. S. Tsui,133,B. Prebble,4,H1   ,1:08.3,22.2, ,12-11-6,1.75,1136.0,80.0,6.4,
FIGHTING CHAMP,T162, Old Deuteronomy, Ensejaam,2015-01-25,341,ST tf g/f B+2,1200,3,WD,J. Moore,133,N. Rawiller,1,H/XB ,1:09.5,22.7, ,8-6-10,3.75,1043.0,80.0,15.0,
FLAME LILY,B050, Danehill Dancer, Showerproof,2018-05-27,678,ST tf g A,1600,4,WD,F. C. Lor,126,U. Rispoli,10,CP,1:35:98,22.06, ,14-14-13-2,0.75,1165.0,53.0,,
FLYING MONKEY,T361, Pins, Dandify,2016-10-26,134,HV tf g/f C+3,1000,4,DNF,W. Y. So,133,J. Moreira,11,TT   ,,, ,1-1-2,1.25,1079.0,59.0,10.0,
FRIENDS OF NANJING,V140, Jet Spur, She's The One,2018-12-16,257,ST tf g C+3,1600,4,WD,C. H. Yip,123,C. Wong,9, ,1:35:42,23.64, ,13-13-12-10,15.25,,53.0,,
